,,,Before,,,,,,,,,,,After,,,,
,,,,,,,,,,,,,,,,,,
========== RoomId : 0 MemoryPooling before BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 MemoryPooling After BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
Room,100,0.96164,0.58,2.136,0.633,2.136,0.217393,,,,Room,100,0.8729,0.566,1.888,0.581,1.888,0.181939
======================================,,,,,,,,,,,======================================,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
========== RoomId : 0 1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.08747,0,0.363,0.000999928,0.363,0.114909,,,,I-Flush,100,0.08709,0.000999928,0.304,0.000999928,0.304,0.106123
D-Flush,100,0.17889,0.00499964,0.394,0.00500011,0.394,0.081668,,,,D-Flush,100,0.18139,0.00699997,0.555,0.00699997,0.555,0.0900915
Update,100,0.72611,0.0489998,3.415,0.052,3.415,0.380467,,,,Update,100,0.73319,0.0469999,3.484,0.053,3.484,0.39519
Room,100,1.05838,0.0599999,3.67,0.0639997,3.67,0.455369,,,,Room,100,1.07293,0.0599999,4.063,0.0669999,4.063,0.49351
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.09781,0.000999928,0.494,0.000999928,0.494,0.12276,,,,I-Flush,100,0.08974,0.000999928,0.387,0.000999928,0.387,0.122943
D-Flush,100,0.23718,0.153,0.574,0.155,0.574,0.0664255,,,,D-Flush,100,0.2169,0.133,0.52,0.136,0.52,0.0595853
Update,100,0.67247,0.467,1.697,0.471,1.697,0.171413,,,,Update,100,0.64379,0.469,1.604,0.472,1.604,0.154598
Room,100,1.09873,0.749,2.481,0.753,2.481,0.290306,,,,Room,100,1.04287,0.701,2.465,0.729,2.465,0.287656
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.08906,0.000999928,0.317,0.000999928,0.317,0.123613,,,,I-Flush,100,0.10475,0.000999928,0.344,0.000999928,0.344,0.118192
D-Flush,100,0.2295,0.145,0.651,0.148,0.651,0.0689193,,,,D-Flush,100,0.2124,0.119,0.449,0.133,0.449,0.0586123
Update,100,0.59868,0.439,0.906,0.443,0.906,0.10073,,,,Update,100,0.55769,0.391,1.042,0.394,1.042,0.11999
Room,100,1.00499,0.694,1.568,0.698,1.568,0.208943,,,,Room,100,0.95991,0.657,1.855,0.661,1.855,0.235761
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.10232,0.000999928,0.616,0.000999928,0.616,0.1346,,,,I-Flush,100,0.08887,0,0.422,0.000999928,0.422,0.127699
D-Flush,100,0.20915,0.129,0.414,0.14,0.414,0.0472331,,,,D-Flush,100,0.20697,0.131,0.406,0.136,0.406,0.0503481
Update,100,0.5258,0.365,1.495,0.368,1.495,0.144054,,,,Update,100,0.54141,0.389,1.014,0.393,1.014,0.105902
Room,100,0.91806,0.592,2.558,0.611,2.558,0.265543,,,,Room,100,0.92559,0.623,1.656,0.624,1.656,0.235812
======================================,,,,,,,,,,,======================================,,,,,,,
========== RoomId : 0 1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.09565,0,0.91,0.000999928,0.91,0.150214,,,,I-Flush,100,0.08495,0.000999928,0.428,0.000999928,0.428,0.121404
D-Flush,100,0.2033,0.133,0.368,0.139,0.368,0.0403087,,,,D-Flush,100,0.19577,0.124,0.478,0.126,0.478,0.0515484
Update,100,0.53644,0.381,2.123,0.381,2.123,0.183825,,,,Update,100,0.52794,0.392,0.923,0.393,0.923,0.106955
Room,100,0.91874,0.622,3.376,0.628,3.376,0.317481,,,,Room,100,0.89011,0.603,1.916,0.614,1.916,0.214651
======================================,,,,,,,,,,,======================================,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
========== RoomId : 0 5Room+1000P+600M No Pooling No Chunk BENCHMARK SUMMARY ==========,,,,,,,,,,,========== RoomId : 0 5Room+1000P+600M No Pooling SendBuffer Chunk BENCHMARK SUMMARY ==========,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,,Name,Samples,Avg,Min,Max,p01,p99,StdDev
I-Flush,100,0.04524,0,0.423,0.000999928,0.423,0.059547,,,,I-Flush,100,0.04839,0,0.386,0,0.386,0.0637247
D-Flush,100,0.14359,0.00600004,0.577,0.00600004,0.577,0.0941505,,,,D-Flush,100,0.14436,0.00199986,0.784,0.00299978,0.784,0.10545
Update,100,0.67448,0.0599999,5.476,0.0910001,5.476,0.591935,,,,Update,100,0.68583,0.0509996,6.429,0.053,6.429,0.642523
Room,100,0.95165,0.0780001,6.107,0.103,6.107,0.664577,,,,Room,100,0.97046,0.0560002,6.853,0.059,6.853,0.697473
======================================,,,,,,,,,,,======================================,,,,,,,
